BASE

hf (pretrained=mistralai/Mistral-7B-v0.1), gen_kwargs: (), limit: None, num_fewshot: None, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|  - college_physics                    |Yaml   |none  |     0|acc   |0.4510|±  |0.0495|
|  - computer_security                  |Yaml   |none  |     0|acc   |0.7300|±  |0.0446|
|  - conceptual_physics                 |Yaml   |none  |     0|acc   |0.5404|±  |0.0326|
|  - electrical_engineering             |Yaml   |none  |     0|acc   |0.5862|±  |0.0410|
|  - elementary_mathematics             |Yaml   |none  |     0|acc   |0.3968|±  |0.0252|
|  - high_school_biology                |Yaml   |none  |     0|acc   |0.7419|±  |0.0249|
|  - high_school_chemistry              |Yaml   |none  |     0|acc   |0.4877|±  |0.0352|
|  - high_school_computer_science       |Yaml   |none  |     0|acc   |0.6600|±  |0.0476|
|  - high_school_mathematics            |Yaml   |none  |     0|acc   |0.3296|±  |0.0287|
|  - high_school_physics                |Yaml   |none  |     0|acc   |0.2980|±  |0.0373|
|  - high_school_statistics             |Yaml   |none  |     0|acc   |0.4676|±  |0.0340|
|  - machine_learning                   |Yaml   |none  |     0|acc   |0.5000|±  |0.0475|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.5966|±  |0.1393|
| - humanities     |N/A    |none  |     0|acc   |0.5356|±  |0.1653|
| - other          |N/A    |none  |     0|acc   |0.6814|±  |0.1021|
| - social_sciences|N/A    |none  |     0|acc   |0.6952|±  |0.0897|
| - stem           |N/A    |none  |     0|acc   |0.5078|±  |0.1149|
